Date,Time,Pressure Main,Pressure Autocalve 1,Pressure Autocalve 2,Pressure Autocalve 3,Pressure Autocalve 4,Pressure Autocalve 5,Pressure Autocalve 6,Pressure Autocalve 7,Pressure Autocalve 8,Temperature Autocalve 1,Temperature Autocalve 2,Temperature Autocalve 3,Temperature Autocalve 4,Temperature Autocalve 5,Temperature Autocalve 6,Temperature Autocalve 7,Temperature Autocalve 8,Vacuum pump,% Valve Live,% Valve Overflow,% Valve Waste,Main Meter steam flow,Main Meter steam ton
1/8/2026,01:25:14,12.83728,0.1059028,5.482639,11.92014,12.55208,12.41956,12.32928,3.018518,-0.2164352,96.69054,165.1367,188.3898,187.2179,186.263,185.3841,144.3902,112.7062,1,20.51971,-0.6618924,99.73958,4.789772,8674.397
1/8/2026,01:26:14,12.88791,0.1024306,5.482639,11.91204,12.54514,12.42188,12.31944,3.163773,-0.2604167,96.35416,165.4405,188.3464,187.207,186.3173,185.2539,145.7682,111.4909,1,20.51598,-0.6618924,99.73958,4.809224,8674.478
1/8/2026,01:27:14,12.43128,0.1030092,5.480903,11.90336,12.53588,12.41956,12.31134,3.361111,-0.3003472,96.21311,165.5925,188.3355,187.1745,186.2413,185.2105,146.7882,110.6554,1,25,-0.6655093,99.73958,6.241739,8674.576
1/8/2026,01:28:14,12.59313,9.953701E-02,5.478009,11.88252,12.51794,12.41377,12.30035,3.561921,-0.3362269,95.96354,165.7986,188.1727,187.0443,186.0677,184.8633,147.9926,110.0152,1,25.00373,-0.6655093,99.73958,6.305251,8674.682
1/8/2026,01:29:14,11.97917,9.664357E-02,5.473958,11.90278,12.53819,12.42188,12.30093,3.813657,-0.3668981,96.05035,165.8963,188.3138,187.2396,186.4149,185.3733,150.6619,109.6137,1,29.48402,-0.6655093,99.73958,7.700478,8674.802
1/8/2026,01:30:14,12.18714,0.09375,5.470486,11.89757,12.53356,12.41898,12.29398,4.079282,-0.3940972,95.80078,165.8854,188.3355,187.207,186.4149,185.3841,152.9405,109.1363,1,29.48775,-0.6618924,99.73958,7.832806,8674.931
1/8/2026,01:31:14,11.46647,9.027779E-02,5.46875,11.89583,12.53472,12.4213,12.29167,4.412037,-0.4189815,95.81164,165.7878,188.3355,187.2179,186.4366,185.4167,154.7417,108.7348,1,34.50194,-0.6618924,99.73958,9.062491,8675.072
1/8/2026,01:32:14,11.48636,8.854163E-02,5.465857,11.89352,12.53183,12.42014,12.28704,4.76331,-0.4409722,95.71397,165.7986,188.3247,187.2287,186.4475,185.3516,157.0855,108.3442,1,34.50194,-0.6582755,99.73958,9.024941,8675.223
1/8/2026,01:33:14,10.93931,8.506942E-02,5.459491,11.85474,12.49769,12.39988,12.27315,5.158565,-0.4612269,95.49696,165.5056,188.151,187.0117,186.0894,184.7439,158.5829,108.0404,1,39.25105,-0.6618924,99.73958,9.925396,8675.378
1/8/2026,01:34:14,10.93298,8.391201E-02,5.454282,11.84954,12.4919,12.39815,12.2691,5.579861,-0.474537,95.39931,165.3971,188.2378,187.0009,186.0677,184.7873,161.6102,107.8234,1,39.25105,-0.6655093,99.73958,9.754591,8675.541
1/8/2026,01:35:14,10.28555,8.101857E-02,5.451389,11.85764,12.50116,12.40104,12.2662,6.02662,-0.490162,95.3559,165.3537,188.2921,187.0768,186.2739,184.9501,163.4983,107.6063,1,48.62231,-0.6618924,99.73958,10.7799,8675.706
1/8/2026,01:36:14,10.26024,0.0769676,5.445023,11.85301,12.49306,12.39468,12.26099,6.52662,-0.5017361,95.20399,165.2452,188.1619,187.0551,186.1545,184.885,166.7752,107.3025,1,48.61858,-0.6655093,99.73958,10.40722,8675.883
1/8/2026,01:37:14,10.32896,7.523143E-02,5.434028,11.82639,12.46759,12.37789,12.24595,7.019676,-0.5109954,93.30512,165.115,188.2704,187.1202,186.3064,185.0586,171.224,107.0964,1,52.31481,-0.6618924,99.73958,10.39952,8676.056
1/8/2026,01:38:14,10.46459,0.0769676,5.428241,11.82407,12.46528,12.36921,12.23727,7.538774,-0.5202546,91.03733,164.898,188.2487,187.1528,186.2739,185.0694,171.224,106.8902,1,52.31108,-0.6582755,99.73958,10.24239,8676.228
